,city,state
11283,Saint Ignace ,MI
11284,Saint Ignatius ,MT
11285,Saint Inigoes ,MD
11286,Saint Jacob ,IL
11287,Saint James ,MN
11288,Saint James ,NY
11289,Saint James City ,FL
11290,Saint Joe ,IN
11291,Saint John ,IN
11292,Saint Johns ,AZ
11293,Saint Johns ,FL
11294,Saint Johns ,MI
11295,Saint Johnsville ,NY
11296,Saint Joseph ,IL
11297,Saint Joseph ,MN
11298,Saint Joseph ,MO
11299,Saint Joseph ,MI
11300,Saint Landry ,LA
11301,Saint Leonard ,MD
11302,Saint Libory ,IL
11303,Saint Louis ,MI
11304,Saint Louis ,MO
11305,Saint Louisville ,OH
11306,Saint Marks ,FL
11307,Saint Martinville ,LA
11308,Saint Marys ,IA
11309,Saint Marys ,KS
11310,Saint Marys ,OH
11311,Saint Marys ,PA
11312,Saint Marys ,WV
11313,Saint Marys ,GA
11314,Saint Marys City ,MD
11315,Saint Matthews ,SC
11316,Saint Meinrad ,IN
11317,Saint Michael ,MN
11318,Saint Michael ,PA
11319,Saint Michaels ,MD
11320,Saint Onge ,SD
11321,Saint Paris ,OH
11322,Saint Paul ,IN
11323,Saint Paul ,MN
11324,Saint Paul Park ,MN
11325,Saint Pauls ,NC
11326,Saint Peter ,MN
11327,Saint Peters ,MO
11328,Saint Petersburg ,FL
11329,Saint Petersburg ,PA
11330,Saint Regis ,MT
11331,Saint Simons Island ,GA
11332,Saint Thomas ,MO
11333,Saint Thomas ,PA
11337,Salem ,AL
11349,Salem ,WI
11352,Salfordville ,PA
11362,Salisbury ,PA
11366,Salona ,PA
11370,Salter Path ,NC
11378,Samaria ,MI
11403,San Pedro ,CA
11407,San Ysidro ,CA
11412,Sand Creek ,MI
11418,Sanderson ,FL
11429,Sandy Hook ,CT
11430,Sandy Hook ,VA
11432,Sandy Point ,ME
11434,Sandy Spring ,MD
11454,Santa Rosa Beach ,FL
11457,Santo ,TX
11459,Sarah ,MS
11466,Saratoga ,AR
11475,Sargentville ,ME
11477,Sarver ,PA
11480,Satsuma ,FL
11490,Sault Sainte Marie ,MI
11491,Saunderstown ,RI
11493,Sauquoit ,NY
11504,Sawyer ,MI
11513,Scandinavia ,WI
11518,Scenery Hill ,PA
11524,Schenley ,PA
11531,Schnellville ,IN
11532,Schodack Landing ,NY
11536,Schooleys Mountain ,NJ
11537,Schroon Lake ,NY
11543,Scipio ,IN
11546,Scotland ,MD
11551,Scott ,IN
11553,Scott Air Force Base ,IL
11555,Scott Depot ,WV
11558,Scotts ,MI
11563,Scottsmoor ,FL
11573,Sea Island ,GA
11579,Seabrook ,SC
11582,Seaford ,VA
11585,Seal Cove ,ME
11586,Seal Harbor ,ME
11587,Seale ,AL
11588,Sealevel ,NC
11591,Sears ,MI
11593,Searsmont ,ME
11594,Searsport ,ME
11601,Sebasco Estates ,ME
11611,Sedalia ,IN
11614,Sedalia ,OH
11617,Sedgwick ,ME
11618,Sedro Woolley ,WA
11627,Selkirk ,NY
11635,Seminole ,AL
11638,Seminole ,PA
11650,Sergeantsville ,NJ
11651,Seth ,WV
11660,Seward ,IL
11664,Sewell ,NJ
11672,Shacklefords ,VA
11675,Shady Grove ,PA
11680,Shaftsburg ,MI
11687,Shannock ,RI
11695,Sharon ,WI
11696,Sharon Center ,OH
11705,Shawmut ,ME
11709,Shawville ,PA
11728,Shelbyville ,MI
11731,Sheldon ,SC
11750,Sherburne ,NY
11763,Sherman Oaks ,CA
11764,Shermans Dale ,PA
11768,Sherrills Ford ,NC
11771,Sherwood ,IN
11774,Sherwood ,WI
11778,Shiloh ,TN
11782,Shipman ,IL
11789,Shirley ,IL
11809,Shrewsbury ,PA
11817,Sicklerville ,NJ
11823,Sidney ,NY
14164,Woolrich ,PA
14194,Wycombe ,PA
14195,Wye Mills ,MD
14201,Wynnewood ,PA
14216,Yantic ,CT
14221,Yatesboro ,PA
14223,Yawkey ,WV
14229,Yoder ,IN
14238,York Beach ,ME
14241,York New Salem ,PA
14243,Yorklyn ,DE
14252,Young America ,IN
14255,Youngstown ,FL
14266,Yuma ,TN
14283,Zionsville ,PA
14286,Zullinger ,PA
14289,Zuni ,VA
0,Aaronsburg ,PA
6,Abell ,MD
16,Abingdon ,MD
20,Abington ,CT
553,Attica ,NY
556,Attleboro Falls ,MA
559,Atwood ,IN
579,Auburndale ,MA
589,Augusta ,NJ
591,Augusta ,GA
592,Augusta ,WV
599,Aurora ,ME
612,Austin ,KY
618,Austinville ,IA
626,Avenue ,MD
628,Avery Island ,LA
632,Avoca ,MI
644,Avon by the Sea ,NJ
647,Avondale ,AL
655,Axtell ,TX
656,Axton ,VA
659,Aylett ,VA
668,Bacova ,VA
675,Bahama ,NC
676,Bailey ,MI
678,Bailey Island ,ME
679,Baileys Harbor ,WI
680,Baileyville ,IL
682,Bainbridge ,NY
689,Baker ,FL
692,Baker ,WV
695,Bala Cynwyd ,PA
703,Baldwin Place ,NY
710,Ballston Lake ,NY
719,Banco ,VA
729,Banner ,WY
731,Bannister ,MI
733,Bar Harbor ,ME
734,Bar Mills ,ME
737,Barboursville ,VA
743,Barhamsville ,VA
744,Barium Springs ,NC
747,Barksdale Afb ,LA
749,Barnard ,SD
750,Barnardsville ,NC
761,Barnstable ,MA
773,Barrytown ,NY
779,Barto ,PA
781,Barton ,OH
782,Barton City ,MI
788,Basking Ridge ,NJ
789,Basom ,NY
790,Bass Harbor ,ME
799,Batesburg ,SC
802,Batesville ,VA
809,Bath ,OH
811,Bath ,SC
813,Bath ,IN
814,Bath Springs ,TN
821,Battleboro ,NC
822,Bausman ,PA
830,Bay Saint Louis ,MS
840,Bayside ,NY
842,Bayview ,ID
843,Bayville ,NJ
853,Beallsville ,MD
858,Bear Creek ,NC
859,Bear Creek ,WI
868,Beaver ,PA
873,Beaver Dams ,NY
874,Beaver Falls ,NY
880,Beaverdam ,VA
892,Bedford ,PA
901,Beech Bluff ,TN
905,Beech Island ,SC
907,Beechgrove ,TN
910,Bel Alton ,MD
911,Belcamp ,MD
914,Belden ,MS
917,Belews Creek ,NC
925,Belgrade Lakes ,ME
951,Belleville ,WV
969,Bellvue ,CO
975,Belmont ,MI
981,Belmont ,WI
985,Belsano ,PA
997,Ben Wheeler ,TX
1001,Benezett ,PA
1013,Bent Mountain ,VA
1015,Bentley ,LA
1016,Bentley ,MI
1024,Benton ,WI
1035,Bergheim ,TX
1038,Bergton ,VA
1042,Berkeley Springs ,WV
1052,Berlin ,PA
1055,Berlin Center ,OH
1058,Bernard ,ME
1062,Bernhards Bay ,NY
1065,Berrien Center ,MI
1069,Berryton ,KS
1073,Berwick ,IA
1085,Bethany ,LA
1094,Bethel ,NY
1109,Beverley Beach ,MD
1117,Bickmore ,WV
1120,Biddeford Pool ,ME
1121,Bidwell ,OH
1123,Big Bend ,WI
1124,Big Cove Tannery ,PA
1129,Big Prairie ,OH
1148,Bingham ,ME
1150,Birch Harbor ,ME
1153,Birchwood ,TN
1154,Bird in Hand ,PA
1159,Birmingham ,OH
1165,Bismarck ,AR
1168,Bitely ,MI
1177,Black Hawk ,SD
1180,Black River ,MI
1185,Blacklick ,OH
1188,Blackstone ,IL
1202,Blanch ,NC
1204,Blanchard ,MI
1234,Bloomingrose ,WV
1238,Bloomington ,NY
1244,Blossvale ,NY
1245,Blount ,WV
1246,Blounts Creek ,NC
1255,Blue Hill ,ME
1266,Bluemont ,VA
1275,Boaz ,KY
1279,Bohannon ,VA
1283,Bois D Arc ,MO
1294,Bon Secour ,AL
1295,Bonaire ,GA
1296,Bonanza ,UT
1297,Boncarbo ,CO
1298,Bondsville ,MA
1306,Bonner ,MT
1309,Bonnots Mill ,MO
1315,Booneville ,IA
1323,Boothbay ,ME
1324,Boothbay Harbor ,ME
1328,Boring ,OR
1340,Bouckville ,NY
1349,Bovard ,PA
1351,Bow ,WA
1361,Bowmansville ,NY
1364,Box Springs ,GA
1372,Boyds ,MD
1373,Boyers ,PA
1378,Boynton ,PA
1384,Brackney ,PA
1396,Bradfordwoods ,PA
1398,Bradley ,MI
1409,Braintree ,MA
1413,Branchport ,NY
1414,Branchton ,PA
1415,Branchville ,IN
1423,Brandt ,SD
1424,Brandy Station ,VA
1430,Brant Lake ,NY
1431,Brant Rock ,MA
1435,Brazeau ,MO
1444,Breezewood ,PA
1445,Breezy Point ,NY
1449,Bremen ,ME
1452,Bremo Bluff ,VA
1471,Bridge Port ,IA
1474,Bridgeport ,IN
1477,Bridgeport ,NJ
1498,Brierfield ,AL
1503,Brighton ,MA
1505,Brighton ,MO
1513,Bringhurst ,IN
1514,Brinkhaven ,OH
1515,Brinklow ,MD
1520,Bristol ,ME
1525,Bristol ,VT
1528,Bristolville ,OH
1530,Bristow ,IN
1532,Bristow ,VA
1537,Broad Run ,VA
1538,Broad Top ,PA
1548,Brockport ,PA
1553,Brogue ,PA
1554,Brohman ,MI
1560,Bronston ,KY
1562,Bronx ,NY
1570,Brookfield ,OH
1576,Brooklin ,ME
1578,Brookline ,MO
1581,Brooklyn ,MD
1584,Brooklyn ,WI
1586,Brookpark ,OH
1589,Brooks ,ME
1590,Brookside ,NJ
1594,Brooksville ,ME
1606,Browns Summit ,NC
1607,Brownsboro ,AL
1619,Brownwood ,MO
1622,Bruceville ,TX
1631,Brussels ,WI
1636,Bryant ,IA
1638,Bryant ,WI
1640,Bryantville ,MA
1641,Bryceville ,FL
1643,Bryn Mawr ,CA
1652,Buckfield ,ME
1654,Buckingham ,IA
1655,Buckingham ,PA
1662,Bucks ,AL
1663,Bucksport ,ME
1672,Buena Vista ,PA
1686,Buffalo Mills ,PA
1688,Buford ,WY
1693,Bullock ,NC
1695,Bullville ,NY
1697,Bumpass ,VA
1701,Bunker Hill ,WV
1708,Burbank ,SD
1711,Burfordville ,MO
1714,Burghill ,OH
1740,Burnham ,ME
1743,Burnside ,IA
1747,Burnt Cabins ,PA
1748,Burnt Hills ,NY
1750,Burrows ,IN
1753,Burt ,NY
1758,Bushland ,TX
1761,Bushwood ,MD
1770,Butler ,WI
1773,Butte ,MT
1778,Buxton ,OR
1782,Byfield ,MA
1784,Bynum ,NC
1795,Cable ,OH
1797,Cabot ,PA
1799,Cache Junction ,UT
1837,Callaway ,MD
1840,Callicoon ,NY
1848,Camano Island ,WA
1853,Cambria Heights ,NY
1857,Cambridge ,ME
1859,Cambridge ,VT
1865,Camby ,IN
1873,Camden Wyoming ,DE
1875,Cameron ,MT
1881,Camp Grove ,IL
1885,Camp Lejeune ,NC
1886,Camp Pendleton ,CA
1891,Campbell Hall ,NY
1897,Canaan ,ME
1899,Canadys ,SC
1907,Candler ,NC
1909,Canehill ,AR
1915,Canoga Park ,CA
1925,Canton ,MI
1929,Canton ,PA
1932,Canton Center ,CT
1933,Cantonment ,FL
1937,Canyon Country ,CA
1943,Cape Fair ,MO
1946,Cape May Court House ,NJ
1949,Cape Porpoise ,ME
1951,Capistrano Beach ,CA
1960,Cardiff by the Sea ,CA
1961,Cardinal ,VA
1996,Carpenter ,SD
2019,Cartersville ,VA
2027,Carversville ,PA
2030,Cary/Elgin ,IL
2033,Casanova ,VA
2034,Cascade ,CO
2036,Cascade ,MD
2039,Cascade ,VA
2041,Casco ,MI
2059,Cassville ,NY
2069,Castile ,NY
2070,Castine ,ME
2071,Castle Creek ,NY
2075,Castleton on Hudson ,NY
2080,Cataula ,GA
2081,Cataumet ,MA
2084,Catharpin ,VA
2092,Catskill ,NY
2099,Cavour ,SD
2103,Cayuta ,NY
2105,Cecil ,AL
2106,Cecil ,AR
2107,Cecil ,IN
2113,Cedar ,MN
2114,Cedar Brook ,NJ
2116,Cedar Creek ,TX
2118,Cedar Falls ,NC
2120,Cedar Grove ,TN
2125,Cedar Island ,NC
